 Placa ; Tipo de Vehiculo ; Año del Permiso ; Valor Permiso ; IPC ; Multa ; Valor Total ; Fecha de Emision ; Codigo Sii ; Forma de Pago ; Fondos a Terceros 
DHCX-32;CAMIONETA;2020;37691;0;0;37691;11-03-2020;CT050030911;Contado;No
CVJH-77;AUTOMOVIL;2020;14150;0;0;14150;12-03-2020;SD050022711;1ra. Cuota;No
SS-9733;CAMIONETA;2020;24837;0;0;24837;12-03-2020;CT079008399;Contado;No
ZK-6532;STATION WAGON;2020;54996;0;0;54996;12-03-2020;VN111009206;Contado;No
KT-2088;JEEP;2020;24837;0;0;24837;12-03-2020;SU229001693;Contado;No
FZHG-38;AUTOMOVIL;2020;28598;0;0;28598;12-03-2020;HB111011514;1ra. Cuota;No
CFDR-64;STATION WAGON;2020;66123;0;0;66123;12-03-2020;SU229024310;Contado;No
HGSR-65;CAMIONETA;2020;36298;0;0;36298;12-03-2020;CT077001916;1ra. Cuota;No
FRWH-98;STATION WAGON;2020;13095;0;0;13095;12-03-2020;CO146000713;1ra. Cuota;No
BSYV-54;CAMIONETA;2020;41996;0;0;41996;12-03-2020;CT160008408;Contado;No
PG-5841;JEEP;2020;24837;0;0;24837;12-03-2020;SU229002096;Contado;No
DCVV-55;CAMIONETA;2020;25100;0;0;25100;12-03-2020;CT268000511;Contado;No
VY-1977;CAMIONETA;2020;24837;0;0;24837;12-03-2020;CT176003203;Contado;No
YK-8786;STATION WAGON;2020;30196;0;0;30196;12-03-2020;SU229015305;Contado;No
HVJJ-74;STATION WAGON;2020;223657;0;0;223657;12-03-2020;SU235010916;Contado;No
CRVS-67;AUTOMOVIL;2020;25100;0;0;25100;13-03-2020;HB050011211;Contado;No
YN-5810;AUTOMOVIL;2020;24837;0;0;24837;13-03-2020;HB077011005;Contado;No
NJ-5925;CAMIONETA;2020;24837;0;0;24837;13-03-2020;CT050003996;Contado;No
NC-4586;STATION WAGON;2020;24837;0;0;24837;13-03-2020;SU181001095;Contado;No
UE-3808;AUTOMOVIL;2020;24837;0;0;24837;13-03-2020;SD176021404;Contado;No
JRBJ-69;STATION WAGON;2020;306806;0;0;306806;13-03-2020;SU227047017;Contado;No
WE-8181;CAMIONETA;2020;38596;0;0;38596;13-03-2020;CT176017506;Contado;No
YX-4627;CAMIONETA;2020;24837;0;0;24837;16-03-2020;CT050019905;Contado;No
KTWK-68;AUTOMOVIL;2020;50395;0;0;50395;16-03-2020;SD197014519;1ra. Cuota;No
JTCY-65;CAMIONETA;2020;204889;0;0;204889;16-03-2020;CT111006117;Contado;No
HTYY-50;AUTOMOVIL;2020;56348;0;0;56348;16-03-2020;SD050030316;Contado;No
TJ-2631;CAMIONETA;2020;24837;0;0;24837;16-03-2020;CT160003400;Contado;No
HLPW-98;CAMIONETA;2020;223050;0;0;223050;16-03-2020;CT176032616;Contado;No
KVPS-17;STATION WAGON;2020;242089;0;0;242089;16-03-2020;SU176023419;Contado;No
BZ-7587;CAMIONETA;2020;24837;0;0;24837;16-03-2020;CT235000389;Contado;No
CCFY-54;CAMIONETA;2020;54396;0;0;54396;16-03-2020;CT176023810;Contado;No
DDZS-12;FURGON;2020;34329;0;0;34329;16-03-2020;CO184009211;Contado;No
CYYH-11;CAMIONETA;2020;87196;0;0;87196;16-03-2020;CT160010011;Contado;No
TH-4370;CAMIONETA;2020;12418;0;0;12418;16-03-2020;CT050010399;1ra. Cuota;No
CPZV-26;CAMIONETA;2020;109137;0;0;109137;16-03-2020;CT064006611;Contado;No
XV-5014;CAMIONETA;2020;26445;0;0;26445;16-03-2020;CT235008904;Contado;No
YRB-806;CARRO ARRASTRE;2020;24837;0;0;24837;16-03-2020; ;Contado;No
XL-8382;CAMIONETA;2020;24837;0;0;24837;16-03-2020;CT166002504;Contado;No
DXYS-10;CAMIONETA;2020;144254;0;0;144254;16-03-2020;CT235013312;Contado;No
CKPK-95;CAMIONETA;2020;28100;0;0;28100;16-03-2020;CT091001610;Contado;No
CDRK-35;AUTOMOVIL;2020;24837;0;0;24837;16-03-2020;HB111006410;Contado;No
FU-7283;JEEP;2019;24177;846;4504;29527;16-03-2020;SU229000884;Contado;No
FU-7283;JEEP;2020;24837;0;0;24837;16-03-2020;SU229000884;Contado;No
FTJD-15;CAMIONETA;2020;161089;0;0;161089;16-03-2020;CT235013313;Contado;No
CFLZ-79;CAMIONETA;2020;35798;0;0;35798;17-03-2020;CT176020310;1ra. Cuota;No
VC-1831;STATION WAGON;2020;24837;0;0;24837;17-03-2020;SD050018103;Contado;No
ZN-4198;CAMION;2016;45724;4115;31399;81238;17-03-2020; ;Contado;No
ZN-4198;CAMION;2017;46787;3369;22570;72726;17-03-2020; ;Contado;No
ZN-4198;CAMION;2018;47681;2098;13440;63219;17-03-2020; ;Contado;No
ZN-4198;CAMION;2019;49033;883;4492;54408;17-03-2020; ;Contado;No
DCGW-11;CAMIONETA;2020;79196;0;0;79196;17-03-2020;CT176020011;Contado;No
DZJF-18;CAMIONETA;2020;92989;0;0;92989;17-03-2020;CT166004712;Contado;No
FGJZ-68;STATION WAGON;2020;142789;0;0;142789;17-03-2020;SU225005713;Contado;No
DTDS-65;CAMIONETA;2020;171889;0;0;171889;17-03-2020;CT050029612;Contado;No
LY-9750;JEEP;2020;24837;0;0;24837;17-03-2020;SU229001695;Contado;No
FSYY-69;AUTOMOVIL;2020;61021;0;0;61021;17-03-2020;SU229026813;Contado;No
WP-9222;AUTOMOVIL;2020;12418;0;0;12418;17-03-2020;SD176021407;1ra. Cuota;No
DGGZ-43;CAMIONETA;2020;82501;0;0;82501;17-03-2020;CT243003111;Contado;No
JXBC-83;CAMIONETA;2020;157403;0;0;157403;17-03-2020;CT166006618;1ra. Cuota;No
FXHJ-79;STATION WAGON;2020;121590;0;0;121590;17-03-2020;SU166002513;Contado;No
BDHH-58;STATION WAGON;2020;23398;0;0;23398;17-03-2020;SU132008408;1ra. Cuota;No
BGYR-79;CAMIONETA;2020;63196;0;0;63196;18-03-2020;CT235011608;Contado;No
WW-3410;AUTOMOVIL;2020;24837;0;0;24837;18-03-2020;HB229006807;Contado;No
DTCV-88;AUTOMOVIL;2020;24837;0;0;24837;18-03-2020;HB229011012;Contado;No
TY-8659;CAMIONETA;2020;24837;0;0;24837;18-03-2020;CT176004000;Contado;No
GSTC-83;AUTOMOVIL;2020;36704;0;0;36704;18-03-2020;HB229012814;Contado;No
VP-2331;AUTOMOVIL;2020;24837;0;0;24837;18-03-2020;SU227015003;Contado;No
ZS-2221;AUTOMOVIL;2020;24837;0;0;24837;18-03-2020;HB077011006;Contado;No
FBLZ-97;AUTOMOVIL;2020;13450;0;0;13450;18-03-2020;HB229010213;1ra. Cuota;No
WA-9261;CAMIONETA;2020;40196;0;0;40196;18-03-2020;CT160007306;Contado;No
CZZH-45;CAMIONETA;2020;37598;0;0;37598;18-03-2020;CT050028911;1ra. Cuota;No
GRYT-50;STATION WAGON;2020;72145;0;0;72145;18-03-2020;VN166006814;1ra. Cuota;No
WW-9483;FURGON;2020;24837;0;0;24837;19-03-2020;CO197001207;Contado;No
CGPL-65;CAMIONETA;2020;24837;0;0;24837;19-03-2020;CT091001309;Contado;No
KYYZ-40;STATION WAGON;2020;114295;0;0;114295;19-03-2020;SU079008019;1ra. Cuota;No
WW-7233;AUTOMOVIL;2020;24837;0;0;24837;19-03-2020;SD079011907;Contado;No
RV-3295;CAMIONETA;2020;24837;0;0;24837;19-03-2020;CT079004998;Contado;No
FRHS-73;AUTOMOVIL;2020;38396;0;0;38396;19-03-2020;HB176004913;Contado;No
CYHP-17;CAMIONETA;2020;40698;0;0;40698;19-03-2020;CT176023711;1ra. Cuota;No
CDSH-72;FURGON;2020;28800;0;0;28800;19-03-2020;CO184005810;Contado;No
LGLR-45;CAMIONETA;2020;461606;0;0;461606;19-03-2020;CT166007019;Contado;No
BYJD-21;CAMIONETA;2020;25798;0;0;25798;19-03-2020;CT176023909;1ra. Cuota;No
BPPB-94;CAMIONETA;2020;43596;0;0;43596;19-03-2020;CT176023808;Contado;No
BJJF-67;AUTOMOVIL;2020;24837;0;0;24837;20-03-2020;SD176021408;Contado;No
YF-6912;STATION WAGON;2020;28400;0;0;28400;20-03-2020;SU227018605;Contado;No
TH-7763;CAMIONETA;2020;24837;0;0;24837;20-03-2020;CT079009399;Contado;No
ZT-6006;CAMIONETA;2020;31796;0;0;31796;20-03-2020;CT176019706;Contado;No
UB-7069;STATION WAGON;2020;28297;0;0;28297;20-03-2020;SU227013901;Contado;No
