 Placa ; Tipo de Vehiculo ; Marca ; Año del Permiso ; Valor Permiso ; IPC ; Multa ; Valor Total ; Fecha de Emision ; Codigo Sii ; Clasificacion ; Forma de Pago 
HVJJ-74;STATION WAGON;TOYOTA;2019;127183;0;0;127183;14-03-2019;SU235010916;NORMAL;1ra. Cuota
WA-9261;CAMIONETA;MAZDA;2019;47588;0;0;47588;14-03-2019;CT160007306;NORMAL;Contado
DBSD-56;CAMIONETA;NISSAN;2019;96865;0;0;96865;14-03-2019;CT176023711;NORMAL;Contado
GBHR-61;STATION WAGON;RENAULT;2019;73588;0;0;73588;14-03-2019;SU197005714;NORMAL;Contado
HGSB-46;AUTOMOVIL;SUZUKI;2019;28800;0;0;28800;14-03-2019;HB229012015;NORMAL;Contado
JPFC-83;AUTOMOVIL;CHEVROLET;2019;116965;0;0;116965;14-03-2019;SD050030917;NORMAL;Contado
ND-7307;CAMIONETA;TOYOTA;2019;24177;0;0;24177;15-03-2019;CT235003595;NORMAL;Contado
VN-1033;CAMIONETA;CHEVROLET;2019;24177;0;0;24177;15-03-2019;CT050013603;NORMAL;Contado
WZ-8700;AUTOMOVIL;SUZUKI;2019;24177;0;0;24177;15-03-2019;HB229008407;NORMAL;Contado
WV-4864;CAMIONETA;NISSAN;2019;40988;0;0;40988;15-03-2019;CT176019507;NORMAL;Contado
FPJR-54;FURGON;FIAT;2019;32588;0;0;32588;15-03-2019;CO077001913;NORMAL;Contado
CDRK-35;AUTOMOVIL;HYUNDAI;2019;26500;0;0;26500;15-03-2019;HB111006410;NORMAL;Contado
KHPY-54;AUTOMOVIL;SUZUKI;2019;27994;0;0;27994;15-03-2019;HB229015218;NORMAL;1ra. Cuota
CTJG-50;STATION WAGON;NISSAN;2019;70788;0;0;70788;15-03-2019;SU176019711;NORMAL;Contado
BVKF-21;CAMIONETA;NISSAN;2019;38094;0;0;38094;15-03-2019;CT176024309;NORMAL;1ra. Cuota
ZL-7750;AUTOMOVIL;HYUNDAI;2018;16457;362;1766;18585;15-03-2019;SD111010806;NORMAL;2da. Cuota
ZL-7750;AUTOMOVIL;HYUNDAI;2019;28500;0;0;28500;15-03-2019;SD111010806;NORMAL;Contado
KTLW-41;AUTOMOVIL;HYUNDAI;2019;59983;0;0;59983;15-03-2019;HB111018318;NORMAL;1ra. Cuota
DZKL-45;CAMIONETA;VOLKSWAGEN;2019;166165;0;0;166165;18-03-2019;CT243002513;NORMAL;Contado
KK-6541;AUTOMOVIL;OPEL;2019;24177;0;0;24177;18-03-2019;SD181001792;NORMAL;Contado
BPPB-94;CAMIONETA;NISSAN;2019;50188;0;0;50188;18-03-2019;CT176023808;NORMAL;Contado
YR-8474;CAMIONETA;MITSUBISHI;2019;42988;0;0;42988;18-03-2019;CT166003505;NORMAL;Contado
YE-3765;FURGON;KIA MOTORS;2019;28500;0;0;28500;18-03-2019;VN132001605;NORMAL;Contado
UC-6938;AUTOMOVIL;SUZUKI;2019;12088;0;0;12088;18-03-2019;HB229003500;NORMAL;1ra. Cuota
BLZJ-79;CAMIONETA;HYUNDAI;2019;44988;0;0;44988;18-03-2019;CT111003408;NORMAL;Contado
GBRW-15;CAMIONETA;MAHINDRA;2019;80788;0;0;80788;18-03-2019;CT154002113;NORMAL;Contado
FRWH-31;AUTOMOVIL;CHEVROLET;2019;24694;0;0;24694;18-03-2019;SD050022513;NORMAL;1ra. Cuota
XU-5039;FURGON;CITROEN;2019;24177;0;0;24177;18-03-2019;CO052003804;NORMAL;Contado
RR-8706;FURGON;CITROEN;2019;24177;0;0;24177;18-03-2019;CO052000898;NORMAL;Contado
XV-5480;CAMIONETA;CHEVROLET;2019;24177;0;0;24177;18-03-2019;CT050020504;NORMAL;Contado
TC-7477;CAMIONETA;CHEVROLET;2019;24177;0;0;24177;18-03-2019;CT050009499;NORMAL;Contado
UL-3205;FURGON;SUZUKI;2019;24177;0;0;24177;18-03-2019;VN229000101;NORMAL;Contado
CJCK-32;CAMIONETA;NISSAN;2019;82188;0;0;82188;18-03-2019;CT176023710;NORMAL;Contado
CDWF-83;STATION WAGON;HYUNDAI;2019;101365;0;0;101365;18-03-2019;VN111016011;NORMAL;Contado
BFRH-37;CAMIONETA;MITSUBISHI;2019;63188;0;0;63188;18-03-2019;CT166004508;NORMAL;Contado
DJBD-52;AUTOMOVIL;JAC;2019;24300;0;0;24300;18-03-2019;HB117000612;NORMAL;Contado
DCGW-11;CAMIONETA;NISSAN;2019;45433;0;0;45433;18-03-2019;CT176020011;NORMAL;1ra. Cuota
GRYZ-29;STATION WAGON;SUZUKI;2019;43094;0;0;43094;18-03-2019;CO229001914;NORMAL;1ra. Cuota
DRZC-21;CAMIONETA;TOYOTA;2019;116383;0;0;116383;18-03-2019;CT235013413;NORMAL;1ra. Cuota
DBDT-35;CAMIONETA;NISSAN;2019;54188;0;0;54188;19-03-2019;CT176029111;NORMAL;Contado
KC-1080;STATION WAGON;SUBARU;2018;23510;517;4325;28352;19-03-2019;SD227004292;NORMAL;Contado
KC-1080;STATION WAGON;SUBARU;2019;12088;0;0;12088;19-03-2019;SD227004292;NORMAL;1ra. Cuota
DDZS-12;FURGON;PEUGEOT;2019;20494;0;0;20494;19-03-2019;CO184009211;NORMAL;1ra. Cuota
CBLZ-23;AUTOMOVIL;CHEVROLET;2019;28300;0;0;28300;19-03-2019;SD050022710;NORMAL;Contado
FRWH-98;STATION WAGON;LIFAN;2019;28800;0;0;28800;19-03-2019;CO146000713;NORMAL;Contado
DTCV-56;CAMIONETA;NISSAN;2019;31394;0;0;31394;19-03-2019;CT176029112;NORMAL;1ra. Cuota
BJRY-95;AUTOMOVIL;NISSAN;2019;27400;0;0;27400;19-03-2019;SD176021410;NORMAL;Contado
HKHL-23;CAMIONETA;TOYOTA;2019;176441;0;0;176441;19-03-2019;CT235013816;NORMAL;1ra. Cuota
VL-9548;CAMIONETA;CHEVROLET;2019;24177;0;0;24177;19-03-2019;CT050016703;NORMAL;Contado
VF-4384;AUTOMOVIL;CHEVROLET;2019;24177;0;0;24177;19-03-2019;SD050018602;NORMAL;Contado
BGYR-79;CAMIONETA;TOYOTA;2019;71388;0;0;71388;19-03-2019;CT235011608;NORMAL;Contado
CBPD-99;AUTOMOVIL;KIA MOTORS;2019;24177;0;0;24177;19-03-2019;HB132002409;NORMAL;Contado
FRJW-14;AUTOMOVIL;TOYOTA;2019;40394;0;0;40394;19-03-2019;HB235004613;NORMAL;1ra. Cuota
LBKH-53;STATION WAGON;KIA MOTORS;2019;138697;0;0;138697;19-03-2019;SU132017719;NORMAL;1ra. Cuota
CTFG-69;CAMIONETA;TOYOTA;2019;124165;0;0;124165;20-03-2019;CT235011611;NORMAL;Contado
YRV-038;CARRO ARRASTRE;HECHIZO;2019;24177;0;0;24177;20-03-2019; ;NORMAL;Contado
CSCP-34;CAMIONETA;TOYOTA;2019;41994;0;0;41994;20-03-2019;CT235011510;NORMAL;1ra. Cuota
BBLY-16;STATION WAGON;KIA MOTORS;2019;36194;0;0;36194;20-03-2019;VN132008608;NORMAL;1ra. Cuota
DLBX-82;CAMIONETA;NISSAN;2019;100465;0;0;100465;20-03-2019;CT176029312;NORMAL;Contado
GXXV-68;CAMIONETA;MITSUBISHI;2019;201565;0;0;201565;20-03-2019;CT166006015;NORMAL;Contado
BYJD-21;CAMIONETA;NISSAN;2019;29294;0;0;29294;20-03-2019;CT176023909;NORMAL;1ra. Cuota
DF-5122;CAMIONETA;TOYOTA;2019;24177;0;0;24177;20-03-2019;CT235001691;NORMAL;Contado
YP-9931;CAMIONETA;HYUNDAI;2019;27800;0;0;27800;20-03-2019;CT111002605;NORMAL;Contado
DCWC-90;AUTOMOVIL;SUZUKI;2019;24177;0;0;24177;20-03-2019;HB229011011;NORMAL;Contado
KFZR-99;CAMIONETA;VOLKSWAGEN;2019;294988;0;0;294988;20-03-2019;CT243007218;NORMAL;1ra. Cuota
KGJP-63;CAMIONETA;MITSUBISHI;2019;204641;0;0;204641;20-03-2019;CT166006618;NORMAL;1ra. Cuota
KGJP-64;CAMIONETA;MITSUBISHI;2019;204641;0;0;204641;20-03-2019;CT166006618;NORMAL;1ra. Cuota
FCLH-17;CAMIONETA;TOYOTA;2019;163465;0;0;163465;20-03-2019;CT235013312;NORMAL;Contado
FSFF-66;CAMIONETA;TOYOTA;2019;232765;0;0;232765;20-03-2019;CT235013413;NORMAL;Contado
JJKJ-30;CAMIONETA;VOLKSWAGEN;2019;269841;0;0;269841;20-03-2019;CT243007417;NORMAL;1ra. Cuota
JJKJ-31;CAMIONETA;VOLKSWAGEN;2019;269841;0;0;269841;20-03-2019;CT243007417;NORMAL;1ra. Cuota
JJTT-39;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-40;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-41;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
JJTT-42;CAMIONETA;TOYOTA;2019;156641;0;0;156641;20-03-2019;CT235014717;NORMAL;1ra. Cuota
